# seq	source_rank	word_id	headword	cefr	primary_sense_id	primary_pos
656	2647	2647	illustration	B2	64037	noun
657	2648	2648	imagination	B2	64042	noun
658	2649	2649	impatient	B2	64046	adj
659	2650	2650	imply	B2	64055	verb
660	2651	2651	impose	B2	64074	verb
661	2652	2652	impress	B2	64059	verb
662	2653	2653	impressed	B2	64050	adj
663	2654	2654	inch	B2	64091	noun
664	2655	2655	incident	B2	64103	noun
665	2657	2657	increasingly	B2	64090	adv
666	2658	2658	industrial	B2	64122	adj
667	2659	2659	infection	B2	64136	noun
668	2660	2660	inform	B2	64140	verb
669	2661	2661	initial	B2	64155	adj
670	2662	2662	initially	B2	64121	adv
671	2663	2663	initiative	B2	64149	adj
672	2664	2664	inner	B2	64161	adj
673	2665	2665	insight	B2	64173	noun
674	2666	2666	insist	B2	64179	verb
